,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,BPM,VORP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
309,Tony Mitchell,PF,21,DET,21,0,3.8,0.2,0.6,.417,0.0,0.0,1.000,0.2,0.5,.364,.458,0.5,0.9,.579,0.7,0.5,1.2,0.1,0.3,0.1,0.2,0.4,1.0,18.1,.540,.083,1.583,19.7,16.0,18.0,3.4,3.8,3.0,16.4,13.2,0.1,0.1,0.2,.151,0.5,0.4,0.0,,65%,35%,,,-2.8,6.2,0,0,0,0,0,0,2,0,0
310,Tony Mitchell,PF,21,DET,21,0,3.8,0.2,0.6,.417,0.0,0.0,1.000,0.2,0.5,.364,.458,0.5,0.9,.579,0.7,0.5,1.2,0.1,0.3,0.1,0.2,0.4,1.0,30.9,.600,.200,.000,11.1,0.0,5.7,22.6,5.2,0.0,0.0,22.6,0.0,0.0,0.1,.242,9.0,10.6,0.0,,,10%,83%,6%,6.0,10.2,2,1,1,1,8,1,5,1,4
311,Tony Mitchell,PF,21,DET,21,0,3.8,0.2,0.6,.417,0.0,0.0,1.000,0.2,0.5,.364,.458,0.5,0.9,.579,0.7,0.5,1.2,0.1,0.3,0.1,0.2,0.4,1.0,30.9,.600,.200,.000,11.1,0.0,5.7,22.6,5.2,0.0,0.0,22.6,0.0,0.0,0.1,.242,9.0,10.6,0.0,,65%,35%,,,-2.8,6.2,0,0,0,0,0,0,2,0,0
312,Tony Mitchell,SF,24,MIL,3,0,3.3,1.0,1.7,.600,0.0,0.3,.000,1.0,1.3,.750,.600,0.0,0.0,,0.3,0.0,0.3,0.3,0.3,0.0,0.0,0.0,2.0,18.1,.540,.083,1.583,19.7,16.0,18.0,3.4,3.8,3.0,16.4,13.2,0.1,0.1,0.2,.151,0.5,0.4,0.0,,,10%,83%,6%,6.0,10.2,2,1,1,1,8,1,5,1,4
313,Tony Mitchell,SF,24,MIL,3,0,3.3,1.0,1.7,.600,0.0,0.3,.000,1.0,1.3,.750,.600,0.0,0.0,,0.3,0.0,0.3,0.3,0.3,0.0,0.0,0.0,2.0,18.1,.540,.083,1.583,19.7,16.0,18.0,3.4,3.8,3.0,16.4,13.2,0.1,0.1,0.2,.151,0.5,0.4,0.0,,65%,35%,,,-2.8,6.2,0,0,0,0,0,0,2,0,0
314,Tony Mitchell,SF,24,MIL,3,0,3.3,1.0,1.7,.600,0.0,0.3,.000,1.0,1.3,.750,.600,0.0,0.0,,0.3,0.0,0.3,0.3,0.3,0.0,0.0,0.0,2.0,30.9,.600,.200,.000,11.1,0.0,5.7,22.6,5.2,0.0,0.0,22.6,0.0,0.0,0.1,.242,9.0,10.6,0.0,,,10%,83%,6%,6.0,10.2,2,1,1,1,8,1,5,1,4
315,Tony Mitchell,SF,24,MIL,3,0,3.3,1.0,1.7,.600,0.0,0.3,.000,1.0,1.3,.750,.600,0.0,0.0,,0.3,0.0,0.3,0.3,0.3,0.0,0.0,0.0,2.0,30.9,.600,.200,.000,11.1,0.0,5.7,22.6,5.2,0.0,0.0,22.6,0.0,0.0,0.1,.242,9.0,10.6,0.0,,65%,35%,,,-2.8,6.2,0,0,0,0,0,0,2,0,0
316,Nazr Mohammed,C,36,CHI,80,1,7.0,0.7,1.6,.429,0.0,0.0,,0.7,1.6,.429,.429,0.2,0.4,.533,0.8,1.4,2.2,0.3,0.2,0.4,0.5,1.0,1.6,10.1,.445,.000,.238,13.6,21.7,17.7,5.8,1.3,4.1,21.0,14.5,-0.4,1.2,0.8,.070,-5.1,-3.9,-0.3,,,,9%,91%,-0.2,-2.7,18,10,39,6,14,2,46,4,8
317,Greg Monroe,PF,23,DET,82,82,32.8,6.1,12.4,.497,0.0,0.0,.000,6.1,12.4,.497,.497,2.9,4.5,.657,3.1,6.1,9.3,2.1,1.1,0.6,2.0,2.5,15.2,18.1,.531,.001,.362,9.9,21.6,15.4,10.3,1.7,1.4,12.4,21.4,3.7,2.3,5.9,.106,0.6,0.1,1.4,,,,64%,36%,-3.6,1.4,54,69,110,19,171,10,388,41,107
318,E'Twaun Moore,SG,24,ORL,79,3,19.1,2.5,5.8,.428,0.7,2.0,.354,1.7,3.7,.468,.490,0.7,0.9,.765,0.4,1.4,1.7,1.4,0.8,0.2,0.7,1.3,6.3,11.1,.513,.353,.149,2.2,8.1,5.1,11.8,2.0,0.7,10.2,16.4,0.6,1.1,1.7,.055,-1.9,-1.6,0.2,8%,83%,9%,,,-4.2,2.6,29,13,60,2,27,8,245,9,29
319,Darius Morris,PG,23,TOT,27,0,11.6,1.4,3.6,.406,0.4,1.4,.316,1.0,2.1,.466,.469,0.6,1.0,.654,0.3,0.7,1.0,1.6,0.5,0.0,1.0,1.2,4.0,9.2,.498,.396,.271,2.5,6.8,4.6,21.5,2.1,0.0,20.1,18.6,-0.1,0.2,0.0,.006,-3.6,-4.5,-0.2,98%,2%,,,,-9.4,-8.9,10,7,12,5,8,4,100,4,6
320,Marcus Morris,SF,24,PHO,82,1,22.0,3.5,7.9,.442,1.2,3.2,.381,2.3,4.8,.483,.518,1.5,1.9,.761,1.0,2.9,3.9,1.1,0.9,0.2,1.2,1.9,9.7,14.8,.552,.399,.244,5.2,14.6,9.9,7.6,2.0,0.8,11.6,19.9,2.3,1.8,4.2,.111,0.6,0.5,1.1,,,56%,43%,1%,4.2,3.1,36,23,89,8,57,9,199,12,25
321,Markieff Morris,PF,24,PHO,81,0,26.6,5.1,10.4,.486,0.4,1.3,.315,4.7,9.1,.512,.507,3.2,4.0,.792,1.7,4.3,6.0,1.8,0.8,0.6,1.8,2.9,13.8,18.4,.564,.128,.387,7.3,18.0,12.6,10.9,1.6,1.8,12.9,23.2,4.0,2.4,6.4,.143,0.8,1.0,1.6,,,,72%,28%,2.8,0.8,53,41,106,26,129,6,343,25,35
322,Anthony Morrow,SG,28,NOP,76,9,18.8,3.1,6.8,.458,1.2,2.6,.451,2.0,4.3,.462,.542,0.9,1.1,.828,0.4,1.5,1.8,0.8,0.5,0.2,0.7,1.3,8.4,13.9,.570,.375,.167,2.3,9.2,5.7,6.7,1.4,0.7,8.4,19.4,2.1,0.3,2.4,.081,0.7,-0.9,0.4,8%,70%,21%,1%,,0.0,4.0,22,19,50,4,25,9,131,9,11
323,Donatas Motiejunas,PF,23,HOU,62,3,15.4,2.1,4.8,.443,0.3,1.4,.250,1.8,3.4,.519,.478,0.9,1.5,.604,1.0,2.7,3.6,0.5,0.3,0.3,0.8,2.1,5.5,10.7,.504,.284,.324,7.4,18.2,13.1,5.5,1.0,1.6,12.7,17.8,0.3,1.0,1.4,.069,-3.2,-3.8,-0.4,,,,58%,42%,3.4,-1.9,14,14,58,9,38,4,93,10,21
324,Arnett Moultrie,PF,23,PHI,12,2,15.6,1.3,3.2,.421,0.0,0.0,,1.3,3.2,.421,.421,0.3,0.4,.800,0.9,2.0,2.9,0.2,0.7,0.3,0.6,1.8,3.0,6.7,.448,.000,.132,6.1,14.4,10.1,1.5,2.1,1.7,14.8,10.7,-0.1,0.1,0.0,.007,-5.9,-7.3,-0.3,,,,31%,69%,-16.7,-6.3,2,3,13,2,4,0,4,1,4
325,Timofey Mozgov,C,27,DEN,82,30,21.6,3.5,6.6,.523,0.0,0.3,.167,3.4,6.4,.539,.527,2.4,3.2,.754,2.1,4.4,6.4,0.8,0.3,1.2,1.5,2.6,9.4,16.7,.584,.044,.477,10.4,21.9,16.1,5.5,0.7,4.2,15.6,18.8,2.6,1.9,4.5,.123,-0.9,-0.8,0.5,,,,,100%,1.2,6.1,28,33,112,33,103,4,150,21,51
326,Shabazz Muhammad,SG,21,MIN,37,0,7.8,1.5,3.4,.460,0.1,0.3,.273,1.5,3.1,.478,.472,0.7,1.1,.650,0.6,0.8,1.4,0.2,0.2,0.0,0.4,0.6,3.9,13.1,.505,.089,.323,8.8,11.2,10.0,3.4,1.4,0.3,10.2,23.1,0.1,0.2,0.3,.053,-2.2,-4.5,-0.2,,70%,30%,,,-11.8,-15.4,4,7,11,4,23,0,15,8,15
327,Byron Mullens,C,24,TOT,45,0,9.2,1.6,3.7,.442,0.7,2.0,.371,0.9,1.7,.526,.542,0.2,0.4,.500,0.5,1.5,2.0,0.3,0.3,0.2,0.6,1.4,4.2,12.8,.544,.539,.121,6.2,18.2,12.1,5.5,1.8,2.1,13.4,20.9,0.1,0.4,0.5,.057,-0.8,-1.7,0.0,,,,,100%,-18.1,-17.0,7,11,34,8,6,1,36,0,11
328,Erik Murphy,C,23,CHI,24,0,2.6,0.1,0.5,.231,0.0,0.1,.000,0.1,0.4,.300,.231,0.0,0.0,,0.1,0.3,0.3,0.1,0.0,0.2,0.1,0.3,0.3,0.2,.231,.231,.000,3.7,10.8,7.3,4.9,0.0,5.0,13.3,11.2,-0.2,0.1,-0.1,-0.055,-9.0,-8.6,-0.1,,,,3%,97%,-39.2,-41.9,0,2,5,0,0,0,4,0,1
329,Toure' Murry,PG,24,NYK,51,0,7.3,1.1,2.5,.434,0.1,0.2,.417,1.0,2.3,.436,.453,0.5,0.8,.590,0.3,0.6,0.9,1.0,0.4,0.0,0.7,0.9,2.7,11.1,.479,.093,.302,4.0,10.1,6.9,21.5,2.7,0.2,18.9,22.5,-0.3,0.3,0.0,.002,-3.7,-4.4,-0.2,97%,3%,,,,-2.4,-1.5,23,9,19,0,16,2,110,3,11
330,Mike Muscala,PF,22,ATL,20,0,10.8,1.6,3.7,.425,0.0,0.2,.000,1.6,3.5,.443,.425,0.7,0.7,1.000,0.9,1.8,2.6,0.4,0.2,0.5,0.6,1.5,3.8,10.8,.480,.041,.192,9.2,18.7,14.0,5.2,0.7,3.7,13.2,19.3,-0.1,0.2,0.2,.040,-4.5,-5.5,-0.2,,,,21%,79%,-20.1,-21.0,2,6,17,2,5,1,16,2,5
331,Hamady N'Diaye,C,27,SAC,14,0,5.3,0.2,0.6,.333,0.0,0.0,,0.2,0.6,.333,.333,0.0,0.1,.000,0.4,0.9,1.3,0.2,0.0,0.3,0.2,1.1,0.4,2.9,.318,.000,.111,7.5,20.1,13.7,5.6,0.0,4.4,24.1,7.4,-0.1,0.1,0.0,-0.008,-8.1,-7.8,-0.1,,,,4%,97%,-16.6,-13.7,0,1,4,2,1,0,7,1,2
332,Steve Nash*,PG,39,LAL,15,10,20.9,2.4,6.3,.383,0.5,1.6,.333,1.9,4.7,.400,.426,1.5,1.6,.917,0.3,1.7,1.9,5.7,0.5,0.1,2.1,1.2,6.8,12.2,.488,.255,.255,1.4,8.5,4.9,40.3,1.1,0.5,22.9,18.9,0.1,0.0,0.1,.017,-1.3,-3.6,-0.1,28%,72%,,,,-9.9,-4.1,22,6,4,0,10,2,200,1,4
333,Gary Neal,SG,29,TOT,52,3,21.4,3.7,9.1,.410,1.3,3.5,.378,2.4,5.6,.430,.482,1.8,2.0,.895,0.2,1.5,1.7,1.6,0.3,0.0,1.2,1.3,10.5,12.5,.530,.382,.223,1.0,8.3,4.6,13.0,0.8,0.0,11.0,23.8,0.6,0.3,1.0,.041,-0.7,-3.0,-0.3,7%,90%,3%,,,-8.8,-4.9,28,18,24,10,36,8,188,10,14
334,Nemanja Nedovic,SG,22,GSW,24,0,5.9,0.3,1.6,.205,0.1,0.8,.167,0.2,0.9,.238,.244,0.3,0.3,.875,0.1,0.5,0.6,0.5,0.0,0.0,0.5,0.5,1.1,-1.7,.306,.462,.205,2.3,9.1,5.8,12.1,0.0,0.5,23.4,17.2,-0.5,0.1,-0.4,-0.132,-8.2,-10.0,-0.3,58%,42%,,,,-23.6,-29.6,8,4,3,1,3,1,32,0,3
335,Jameer Nelson,PG,31,ORL,68,68,32.0,4.3,11.0,.394,2.0,5.8,.348,2.3,5.2,.444,.485,1.4,1.6,.857,0.4,3.0,3.4,7.0,0.8,0.1,2.4,2.1,12.1,13.9,.515,.523,.150,1.5,10.5,6.0,35.1,1.2,0.2,17.3,20.1,1.6,1.2,2.8,.062,0.6,-1.1,0.5,100%,,,,,-6.9,-2.4,96,47,51,5,42,18,1065,8,35
336,Andrew Nicholson,PF,24,ORL,76,5,15.4,2.4,5.5,.429,0.4,1.2,.315,2.0,4.4,.459,.462,0.6,0.8,.825,0.7,2.7,3.4,0.3,0.2,0.3,0.7,2.0,5.7,9.9,.489,.212,.136,5.1,19.5,12.3,3.5,0.8,1.5,10.3,19.3,-0.4,1.0,0.6,.025,-3.9,-5.1,-0.9,,,,77%,24%,-6.7,-1.3,10,13,72,13,26,4,63,9,13
337,Joakim Noah,C,28,CHI,80,80,35.3,4.8,10.0,.475,0.0,0.0,.000,4.8,10.0,.476,.475,3.1,4.2,.737,3.5,7.7,11.3,5.4,1.2,1.5,2.4,3.1,12.6,20.0,.531,.003,.419,11.6,24.5,18.2,26.4,1.9,3.3,17.0,18.7,4.5,6.6,11.2,.190,1.7,5.3,5.2,,,,,100%,4.0,6.6,98,46,108,30,140,15,954,30,75
338,Steve Novak,PF,30,TOR,54,1,10.0,1.1,2.7,.411,1.0,2.3,.426,0.1,0.4,.333,.589,0.1,0.1,1.000,0.1,0.9,1.1,0.2,0.2,0.1,0.1,0.8,3.3,11.1,.599,.836,.041,1.7,10.8,6.3,3.8,1.2,0.6,3.3,12.9,1.0,0.5,1.4,.127,1.5,1.5,0.5,,,3%,67%,30%,1.3,-2.8,1,2,20,1,1,4,32,0,0
339,Dirk Nowitzki,PF,35,DAL,80,80,32.9,7.9,15.9,.497,1.6,4.1,.398,6.3,11.8,.532,.549,4.2,4.7,.899,0.5,5.7,6.2,2.7,0.9,0.6,1.5,2.1,21.7,23.6,.603,.258,.295,1.8,20.0,10.9,14.2,1.4,1.4,7.5,26.9,8.6,2.3,10.9,.199,5.0,5.0,4.7,,,,73%,28%,4.5,6.1,54,43,107,9,125,13,490,29,19
340,James Nunnally,SF,23,TOT,13,0,12.7,1.2,3.5,.326,0.6,1.9,.320,0.5,1.6,.333,.413,0.5,0.7,.667,0.1,1.4,1.5,0.6,0.5,0.2,0.5,0.8,3.4,6.1,.440,.543,.196,0.7,12.4,6.4,7.0,1.8,1.0,12.3,15.1,-0.2,0.1,-0.1,-0.021,-4.3,-5.4,-0.1,,10%,91%,,,-12.9,-7.4,2,2,4,1,4,0,18,1,0
341,Jermaine O'Neal,PF,35,GSW,44,13,20.1,2.8,5.6,.504,0.0,0.0,,2.8,5.6,.504,.504,2.3,3.0,.750,1.9,3.6,5.5,0.6,0.3,0.9,1.2,2.3,7.9,15.3,.570,.000,.532,10.7,19.1,15.0,4.2,0.8,3.4,14.5,17.8,1.3,1.4,2.7,.146,-1.6,-1.4,0.1,,,,28%,72%,1.8,-4.1,12,13,50,15,58,8,59,13,23
342,Kyle O'Quinn,C,23,ORL,69,19,17.2,2.7,5.4,.501,0.0,0.0,.000,2.7,5.3,.505,.501,0.8,1.2,.687,1.4,3.8,5.3,1.1,0.6,1.3,1.1,2.4,6.2,16.5,.526,.008,.224,9.5,25.2,17.3,10.9,1.7,5.8,16.1,18.6,0.5,2.0,2.5,.101,-2.2,-0.3,0.5,,,,30%,70%,-0.3,7.8,33,13,86,22,38,5,170,9,21
343,Greg Oden,C,26,MIA,23,6,9.2,1.2,2.1,.551,0.0,0.0,,1.2,2.1,.551,.551,0.6,1.0,.565,1.0,1.3,2.3,0.0,0.3,0.6,0.5,2.3,2.9,12.4,.567,.000,.469,14.2,17.7,16.0,0.7,1.7,5.3,16.9,16.0,0.2,0.3,0.5,.119,-5.0,-4.8,-0.1,,,,,100%,-5.8,-11.8,1,4,26,4,12,2,3,5,5
344,Victor Oladipo,PG,21,ORL,80,44,31.1,4.9,11.7,.419,0.9,2.8,.327,4.0,8.9,.448,.458,3.1,4.0,.780,0.5,3.6,4.1,4.1,1.6,0.5,3.2,2.6,13.8,13.6,.514,.241,.340,1.9,13.1,7.5,21.9,2.7,1.2,19.2,24.4,-1.4,2.8,1.3,.026,-1.9,-1.4,0.3,59%,41%,,,,-5.4,1.0,122,87,94,22,134,17,728,25,90
345,Kelly Olynyk,C,22,BOS,70,9,20.0,3.3,7.2,.466,0.6,1.6,.351,2.8,5.5,.500,.506,1.4,1.7,.811,2.0,3.2,5.2,1.6,0.5,0.4,1.5,3.2,8.7,15.2,.546,.227,.243,11.0,18.8,14.8,13.1,1.3,1.5,16.0,21.0,1.5,1.4,2.9,.101,-0.9,-1.2,0.3,,,,,100%,-1.7,5.2,28,31,110,26,50,5,249,10,35
346,Arinze Onuaku,PF,26,TOT,5,0,6.0,0.2,1.0,.200,0.0,0.0,,0.2,1.0,.200,.200,0.2,0.4,.500,0.4,1.2,1.6,0.6,0.0,0.0,0.2,0.6,0.6,3.8,.255,.000,.400,7.6,23.5,15.4,13.5,0.0,0.0,14.5,10.4,0.0,0.0,0.0,-0.044,-4.0,-5.2,0.0,,,,87%,13%,-16.1,-13.2,1,0,1,0,0,0,6,0,1
347,Daniel Orton,C,23,PHI,22,4,11.4,1.0,2.1,.447,0.0,0.0,,1.0,2.1,.447,.447,1.0,1.4,.767,0.7,2.0,2.8,0.7,0.3,0.7,0.8,1.7,3.0,10.5,.540,.000,.638,6.6,20.2,13.1,8.5,1.2,5.1,23.0,13.2,0.0,0.2,0.3,.049,-4.7,-4.0,-0.1,,,,17%,83%,-6.2,4.8,4,6,13,7,12,1,35,5,7
348,Travis Outlaw,SF,29,SAC,63,4,16.9,2.1,5.2,.399,0.7,1.9,.350,1.4,3.3,.426,.462,0.7,0.8,.808,0.6,2.1,2.7,0.8,0.3,0.3,0.4,1.5,5.4,10.4,.492,.359,.160,3.8,14.2,8.9,7.0,1.0,1.4,6.9,15.5,0.8,0.6,1.4,.062,-1.1,-1.4,0.1,,7%,54%,38%,1%,-4.8,-2.2,16,4,51,2,16,5,105,1,11
349,Zaza Pachulia,C,29,MIL,53,43,25.0,2.8,6.6,.427,0.0,0.0,.000,2.8,6.6,.428,.427,2.1,2.5,.846,2.7,3.6,6.3,2.6,0.8,0.3,1.7,2.3,7.7,14.0,.502,.003,.372,11.8,17.1,14.4,16.3,1.8,0.9,18.5,17.0,1.0,0.7,1.7,.060,-0.9,-1.8,0.1,,,,1%,99%,-7.7,1.9,35,27,41,19,41,16,292,7,36
350,Jannero Pargo,PG,34,CHA,29,0,8.3,1.8,4.1,.441,0.8,2.1,.400,1.0,2.0,.483,.542,0.3,0.4,.727,0.0,0.7,0.7,1.8,0.5,0.0,0.9,0.6,4.7,18.9,.554,.508,.093,0.5,8.9,4.7,40.3,3.0,0.3,17.5,28.4,0.2,0.4,0.5,.105,2.9,2.7,0.3,99%,1%,,,,-12.1,-12.7,18,6,5,0,3,3,127,0,4
351,Tony Parker,PG,31,SAS,68,68,29.4,6.7,13.4,.499,0.4,1.0,.373,6.3,12.5,.509,.513,2.9,3.6,.811,0.3,2.0,2.3,5.7,0.5,0.1,2.2,1.3,16.7,18.9,.555,.073,.266,1.0,7.5,4.4,31.7,0.9,0.3,12.9,26.5,3.9,1.9,5.9,.141,2.0,0.9,1.5,95%,5%,,,,6.9,-2.5,72,48,36,10,82,7,897,19,53
352,Chandler Parsons,SF,25,HOU,74,74,37.6,6.3,13.3,.472,1.8,4.7,.370,4.5,8.6,.528,.538,2.2,3.0,.742,0.9,4.6,5.5,4.0,1.2,0.4,1.9,2.3,16.6,15.9,.565,.356,.224,2.9,12.8,8.2,17.3,1.6,0.8,11.7,19.3,5.1,2.5,7.6,.131,1.5,1.7,2.6,,1%,86%,12%,,5.6,2.5,71,44,63,14,101,17,695,27,64
353,Patrick Patterson,PF,24,TOT,65,13,23.6,3.5,7.5,.460,0.8,2.3,.364,2.6,5.2,.503,.516,0.8,1.1,.704,1.8,3.5,5.3,1.2,0.8,0.6,1.0,2.4,8.5,14.6,.533,.309,.145,8.8,17.1,12.9,8.5,1.9,1.9,11.1,17.2,1.8,2.0,3.8,.118,0.0,0.5,1.0,,,1%,95%,4%,5.4,6.4,19,11,62,25,30,4,193,5,12
354,Chris Paul,PG,28,LAC,62,62,35.0,6.5,14.0,.467,1.3,3.4,.368,5.3,10.6,.498,.511,4.8,5.6,.855,0.6,3.7,4.3,10.7,2.5,0.1,2.3,2.5,19.1,25.9,.580,.244,.397,2.0,11.4,6.9,48.9,3.5,0.1,12.4,23.7,9.0,3.2,12.2,.270,6.0,8.6,5.8,100%,,,,,11.1,9.2,93,34,48,13,66,17,1495,16,32
355,Nikola Pekovic,C,28,MIN,54,54,30.8,7.0,13.0,.541,0.0,0.0,,7.0,13.0,.541,.541,3.4,4.6,.747,3.8,4.9,8.7,0.9,0.6,0.4,1.6,2.4,17.5,20.7,.582,.000,.355,13.1,17.6,15.3,5.2,0.9,1.1,9.4,22.9,4.3,1.5,5.9,.169,2.2,0.6,1.1,,,,,100%,7.3,8.3,18,25,52,25,128,3,121,30,70
356,Kendrick Perkins,C,29,OKC,62,62,19.5,1.4,3.1,.451,0.0,0.0,.000,1.4,3.1,.453,.451,0.6,1.1,.552,1.3,3.6,4.9,1.1,0.4,0.5,1.5,2.9,3.4,6.3,.474,.005,.347,8.0,19.9,14.2,7.6,1.1,2.2,28.8,11.5,-0.9,1.7,0.8,.031,-5.0,-4.2,-0.7,,,,,100%,1.9,-7.0,29,20,67,26,27,4,148,5,25
357,Paul Pierce,SF,36,BRK,75,68,28.0,4.3,9.5,.451,1.5,4.0,.373,2.8,5.5,.507,.529,3.4,4.1,.826,0.3,4.3,4.6,2.4,1.1,0.4,2.0,2.5,13.5,16.8,.595,.421,.435,1.5,18.3,9.9,14.5,2.2,1.2,15.3,22.4,2.9,2.3,5.2,.119,1.3,1.6,1.9,,1%,47%,52%,,1.9,5.5,73,38,95,18,125,13,421,23,40
358,Dexter Pittman,C,25,ATL,2,0,1.5,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.0,1.0,.000,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,13.1,.000,.000,2.000,100.0,0.0,57.9,0.0,0.0,0.0,0.0,28.5,0.0,0.0,0.0,-0.180,1.8,-24.3,0.0,,,,,100%,0.0,0.3,0,0,0,0,1,0,0,0,0
359,Mason Plumlee,C,23,BRK,70,22,18.2,2.8,4.3,.659,0.0,0.0,.000,2.8,4.3,.666,.659,1.7,2.8,.626,1.4,3.0,4.4,0.9,0.7,0.8,1.1,2.4,7.4,19.0,.670,.010,.646,9.3,19.6,14.5,8.1,2.0,3.6,16.6,17.1,3.0,1.7,4.7,.176,0.2,1.0,1.0,,,,8%,92%,-2.3,-2.3,24,27,85,15,97,4,141,20,35
360,Miles Plumlee,C,25,PHO,80,79,24.6,3.6,6.9,.517,0.0,0.0,,3.6,6.9,.517,.517,0.9,1.7,.561,2.5,5.4,7.8,0.5,0.6,1.1,1.4,2.3,8.1,14.6,.529,.000,.239,11.3,24.4,17.9,3.3,1.3,3.5,15.4,16.2,1.2,2.8,4.0,.098,-1.4,-1.3,0.3,,,,1%,100%,1.1,-2.8,34,27,101,18,64,5,104,16,33
361,Quincy Pondexter,SG,25,MEM,15,2,18.0,2.1,5.3,.392,0.7,2.3,.324,1.3,3.0,.444,.462,1.4,1.7,.808,0.7,1.1,1.7,1.3,0.3,0.1,1.0,1.2,6.3,10.3,.520,.430,.329,4.4,7.0,5.7,11.0,1.0,0.3,14.2,18.0,0.2,0.2,0.4,.063,-1.0,-2.0,0.0,,77%,22%,1%,,-18.6,-22.2,6,3,9,2,13,1,43,3,8
362,Otto Porter,SF,20,WAS,37,0,8.6,0.9,2.5,.363,0.1,0.6,.190,0.8,1.9,.414,.385,0.2,0.3,.667,0.6,1.0,1.5,0.3,0.2,0.0,0.4,0.7,2.1,6.0,.405,.231,.132,7.5,13.3,10.4,4.6,1.3,0.3,12.7,15.6,-0.4,0.3,0.0,-0.006,-4.9,-6.2,-0.3,,72%,28%,,,-3.3,-5.0,8,4,9,1,6,1,23,3,3
363,Josh Powell,PF,31,HOU,1,0,19.0,2.0,6.0,.333,0.0,0.0,,2.0,6.0,.333,.333,0.0,0.0,,0.0,5.0,5.0,0.0,0.0,1.0,1.0,1.0,4.0,2.5,.333,.000,.000,0.0,27.7,14.6,0.0,0.0,3.9,14.3,16.1,-0.1,0.0,0.0,-0.094,-8.8,-11.4,0.0,100%,,,,,-18.9,-23.9,0,0,0,1,0,0,0,0,2
364,Phil Pressey,PG,22,BOS,75,11,15.1,1.0,3.4,.308,0.4,1.4,.264,0.7,2.0,.340,.364,0.4,0.6,.644,0.3,1.1,1.4,3.2,0.9,0.1,1.2,1.3,2.8,8.8,.390,.419,.178,1.9,8.8,5.3,30.8,3.1,0.3,24.2,14.1,-1.0,1.1,0.1,.005,-3.8,-3.3,-0.4,100%,,,,,-1.1,5.6,60,19,39,4,14,0,537,0,10
365,A.J. Price,SG,27,MIN,28,0,3.5,0.7,1.6,.413,0.2,0.8,.273,0.5,0.9,.542,.478,0.0,0.1,.000,0.0,0.3,0.4,0.5,0.0,0.0,0.3,0.2,1.6,9.7,.469,.478,.043,1.1,10.2,5.5,21.5,0.5,0.0,13.0,23.2,-0.1,0.0,0.0,-0.012,-2.4,-4.8,-0.1,79%,21%,,,,-1.4,-4.1,2,2,4,0,2,0,30,2,0
366,Ronnie Price,SG,30,ORL,31,2,12.2,0.9,3.0,.304,0.3,1.4,.209,0.6,1.6,.388,.353,0.3,0.4,.692,0.3,1.1,1.4,2.1,0.8,0.1,0.8,1.6,2.4,7.6,.379,.467,.141,2.4,10.5,6.5,25.6,3.4,0.4,21.0,15.0,-0.5,0.4,-0.1,-0.007,-5.6,-4.3,-0.2,60%,39%,1%,,,-2.8,3.3,14,9,18,2,6,4,143,1,4
367,Pablo Prigioni,PG,36,NYK,66,27,19.4,1.3,2.9,.461,1.0,2.1,.464,0.3,0.8,.451,.631,0.2,0.2,.917,0.5,1.4,2.0,3.5,1.0,0.0,0.9,2.0,3.8,13.0,.642,.733,.063,3.2,8.8,5.9,25.6,2.8,0.1,23.4,9.3,2.5,0.9,3.4,.127,-0.3,0.5,0.8,78%,22%,,,,1.6,3.9,44,9,42,0,5,16,539,0,5
368,Tayshaun Prince,SF,33,MEM,76,76,25.6,2.6,6.5,.407,0.3,0.9,.290,2.4,5.6,.426,.427,0.4,0.8,.567,0.4,2.7,3.1,1.6,0.5,0.3,0.5,0.8,6.0,8.2,.438,.140,.122,1.9,12.3,7.1,8.9,1.1,0.8,7.3,13.3,-0.2,1.8,1.5,.038,-2.7,-2.5,-0.2,,3%,94%,3%,,1.4,-1.4,26,11,42,2,23,9,257,4,13
369,Miroslav Raduljica,C,26,MIL,48,2,9.7,1.4,2.6,.540,0.0,0.0,,1.4,2.6,.540,.540,0.9,1.1,.818,1.1,1.1,2.3,0.5,0.1,0.3,0.6,1.8,3.8,15.3,.603,.000,.437,12.9,13.7,13.3,8.3,0.8,2.3,15.7,17.3,1.0,0.1,1.1,.112,-2.1,-3.6,-0.2,,,,,100%,-6.8,2.4,1,6,36,14,23,4,49,5,17
370,Anthony Randolph,PF,24,DEN,43,5,12.3,1.6,4.1,.386,0.4,1.4,.295,1.2,2.7,.435,.438,1.2,1.6,.754,0.5,2.4,2.8,0.7,0.6,0.4,0.9,1.5,4.8,12.2,.499,.347,.392,4.1,21.0,12.5,9.1,2.4,2.7,15.9,19.8,-0.1,0.7,0.6,.055,-2.3,-0.8,0.2,,,7%,73%,20%,-10.3,-9.4,20,5,20,9,30,1,81,7,11
